eindeutige Nummer;name;vorname;Klasse
C9789AAB-41B0-0A5F-C25A-2B38373981F1;Chandler;Walker;5b
908F1DD5-ACD1-F4F9-7E71-3CB6BEB191FC;Jefferson;Aretha;5b
21C40449-589C-A6CC-B3A7-43B9E480D9DC;Mathis;Malachi;5b
D43B0DB1-312B-F44F-5257-D00314BB4646;Salas;Miranda;5b
EC1237D1-E5E1-EE10-75BA-83B0B4D111E6;Rollins;Felicia;5c
16FE527D-71F0-6CB4-8702-305D2F9EE61D;Wynn;Dacey;5c
48D952F1-1063-6760-E49D-59FC4668D862;Nguyen;Geoffrey;5c
C5E11104-BA27-8143-C1B3-4CF88A41A413;Riggs;Emmanuel;5c
7591E78C-E2B2-4017-948E-258084D9F0D8;Stephenson;Cameran;5c
CEFEC61E-4069-5903-8A6E-D4FCCF260A3E;Underwood;Victor;5c
C21D445B-24A4-7718-AF1A-84E7806EC56C;Holland;Yoko;5c
467D7128-49F0-1D49-842E-17F71FD44C55;Russell;Hammett;5c
974FBE9D-57EB-D240-E034-C70429DDC985;May;Jayme;5c
CD02078F-BBDD-75B1-FAF0-56270A522CB2;Bolton;Xander;5c
25CE738B-460A-CBC4-C213-5E14639D14CC;Hernandez;Yael;5c
9B6F58F2-73E5-6F59-8C2A-5E112784C246;William;Chloe;5c
4BC65BAA-6B0D-E9FF-7A0C-60CF48A184E8;Conway;Echo;5c
0792AB1B-FDA6-7CB7-30B1-88B1A0F83E21;Mays;Athena;5c
EBE67DD4-D7A9-68CA-AE17-A54865D99418;Sears;Jelani;5c
FE18E560-1A04-ACF0-DB8F-446DD192DF56;Hernandez;Hannah;5c
43E43BB7-46CE-1899-2480-A56A3AE89750;Landry;Dominic;5c
C75B31CE-84A9-F50D-9843-D570E7CA0173;Wolf;Kevin;5c
202F1CEE-DCD0-4477-9EBD-6196A690C34C;Hudson;Carolyn;5c
366F6851-71ED-B571-E0EC-7A7C9A5F31EB;Snyder;John;5c
32F1A653-9FC4-019E-2E54-7F308119BBAB;Waters;Simon;5d
4684AC7A-2EA7-2139-7AE6-61CC7B9DCA25;Estrada;Portia;5d
C8D6AD29-974E-3D97-2B55-D633AA0A864E;Barry;Thane;5d
B3B26F8D-4852-6E88-628F-3E23799C9EA3;Mccarthy;Brandon;5d
9AC4D901-B666-AD9E-9DA2-9A06DF6408D2;Green;Amaya;5d
757D07DD-7A53-52AB-F855-392245CB0C0F;Gallegos;Bruce;5d
537C0B87-FC5F-3804-7123-36A7479D3373;Avila;Piper;5d
67E46345-345B-4BD1-2490-EC48BA32E5D1;Huff;Jordan;5d
C0298456-A441-8F83-BB30-B0B72A78F5E5;Vasquez;Stone;5d
D3646B72-9E1A-06D8-4628-8C8AFE5CFBCF;Dominguez;Clayton;5d
EE60A14D-5120-A0D8-5896-A6FBB11ACEF1;Buckley;Dean;5d
64D4ABC1-D87F-D3EA-44B0-3F856C1DA83C;Dyer;Lael;5d
A728D374-59BF-2696-0F0C-EA7A347BC699;Hansen;Thor;5d
E59597DD-14B9-D9C5-4333-CA95C42BCF45;Hart;John;5d
45ABE5DB-A283-A05C-6F8C-E1F32C486051;Keith;Isaac;5d
EB988A9D-4C6E-30E8-6D7D-2D05EFFEA078;Martinez;Nicholas;5d
FC2E818C-1BBE-1A13-80CD-633D685CDA30;Ferrell;Asher;5d
1100273D-3FBF-328B-C1F4-3C6F898DA1B9;Gomez;Nicholas;5d
359A5021-C045-BD4E-B5E6-92F7A1DFCD73;Clements;Wynne;5d
C0BFC4BB-BB17-90CE-979E-4513610F73E0;Ochoa;Cooper;5d
92B6B528-7A03-F504-2353-E20BA499CC61;Gonzales;Davis;5d
D524F920-EC03-BB3F-F54D-A8FD97D094B1;Mercado;Kevin;5d
2090D96E-83FD-61D4-D495-390841643766;Barrera;Dean;5d
FB86FBB6-F477-E65C-4823-ABCCA3255F21;Branch;Maxwell;5d
C6936BD0-733E-95D8-219C-B64A5AB6A941;Sheppard;Simone;5d
D37A229D-AE43-CA65-83DC-441E93BCC2D9;Frost;Sandra;5d
24CA1A26-CF62-FCB1-E07F-535D72BDC281;Wade;Azalia;6a
F2AB1FC7-4E60-311E-CD8E-DEEFCF79DE35;Mcdowell;Sybil;6a
7F370D19-0254-47FF-08C8-4EF7953454BC;Reyes;Audrey;6a
75060734-BB34-5680-FBED-25970B261A3B;Kramer;Kelsey;6a
711DD8E0-AFA1-976F-B9C6-A18F89D00F04;Sexton;Gemma;6a
A1917735-930C-917D-416C-5D3D45A7C300;Lancaster;Mara;6a
F8C9622B-19B3-B261-32C9-5309612F9258;Chapman;Xander;6a
5B829D07-BCE4-4D56-DF6D-2BCCE70D4C96;Guy;Henry;6a
D7ABCF6D-0715-FFED-7D07-272B585D1BDE;Crosby;Amery;6a
BDF8F172-DD67-8FCE-1571-35A4EBDC1A5D;Franco;Len;6a
3099965F-60D9-FA3A-A29C-EE0C849729CB;Grant;Cyrus;6a
B3C1AF60-0A03-4CA5-046E-0C12093DD6DB;Stevens;August;6a
7AA6D04F-4B1D-C3B1-F114-41ECC7E7943B;Thornton;Ima;6a
E79B1DEC-21EA-2381-EFE5-544AF834483A;Deleon;Sage;6a
EA2E678E-BAEF-AA61-2E8E-6B668DA96977;Huber;Sloane;6a
